,id,name,region
278,6161c184143c37878b238966,GRINDING,ME
279,618966e9f8090ec74528bb6e,GreenBurger,ME
280,61896735143c37878b23d0a1,HAT,ME
281,6161c107143c37878b23895e,Hawks eSports,ME
282,6161c0cbf8090ec74528723c,Invaders,ME
283,61d97085c437fde7e02cb74c,Joga Bonito,ME
284,61f2c5fada9d7ca1c7ba686b,KINGS Esports,ME
285,61ed2713da9d7ca1c7ba5b28,Kerntina gang,ME
286,60c467f1490bd8649dd30e57,Knights of Bizertin Rise,ME
287,620a7af1c437fde7e02cff29,Krentina Esports,ME
288,6154271c143c37878b2380a5,Mad Titans,ME
289,61ed271eda9d7ca1c7ba5b29,Missing,ME
290,61d9708fc437fde7e02cb74d,Monsters,ME
291,6116424887f814e9fbfff701,Msheireb Esports,ME
292,61d169b7c437fde7e02cb5b6,Mythical,ME
293,620a7ad9da9d7ca1c7ba840a,Night Crawlers,ME
294,61d9707cc437fde7e02cb74b,Nightmare,ME
295,6020bc87f1e4807cc7003443,OwlArmy,ME
296,6179519c143c37878b23ae94,RPZ,ME
297,618966fdf8090ec74528bb6f,Rapzers Esports,ME
298,6161c0c0f8090ec74528723b,RevSol Team,ME
299,61795194143c37878b23ae93,Revolution,ME
300,6161c19a143c37878b238968,Rey's Esports,ME
301,61795160f8090ec7452895b5,Rise Up,ME
302,61d97068c437fde7e02cb74a,Ruin Your Day,ME
303,61896743143c37878b23d0a3,Rule Breakers,ME
304,60c1e75b9fc1a47e5f11173a,SALT Esports,ME
305,61918083f8090ec74528c16a,SCYTES,ME
306,6161c174143c37878b238964,STRIPS TEAM,ME
307,620a7aa5c437fde7e02cff25,Sanctuary,ME
308,61896708f8090ec74528bb70,Saudi Hurricane,ME
309,6179517f143c37878b23ae91,Senju,ME
310,6020c2a9f1e4807cc702a73d,Sleeping,ME
311,620a7ac9c437fde7e02cff27,Spoilers,ME
312,60a6d5a077582b9feff6969f,Sudor Esports,ME
313,61ed26d9da9d7ca1c7ba5b25,T2K,ME
314,61896710f8090ec74528bb71,TCSs,ME
315,6161c11c143c37878b238960,TM group,ME
316,60bb484abd0db240d7a31f46,Team D7K,ME
317,607d7d97473f172e4c0d3919,Team Falcons,ME
318,620a7abac437fde7e02cff26,Team Frenzy,ME
319,61d970a2c437fde7e02cb74e,Team MDRY,ME
320,61ed2728da9d7ca1c7ba5b2a,Team WaVii,ME
321,6189673d143c37878b23d0a2,The Boneless,ME
322,6161c0d9f8090ec74528723d,The Deadly Boyz,ME
323,6020bf1af1e4807cc7018161,The Evil eSports,ME
324,6161c18e143c37878b238967,The Holy Cows!,ME
325,61795169143c37878b23ae90,The Steel Team,ME
326,607d7d97473f172e4c0d391a,The Ultimates,ME
327,6161c0fa143c37878b23895d,Tornado,ME
328,60bb486dbd0db240d7a31f49,Triple Threat,ME
329,6161c17e143c37878b238965,Trouble Team,ME
330,61ed26f9da9d7ca1c7ba5b27,Tuchel,ME
331,61795143f8090ec7452895b3,Uchiha,ME
332,620a7ad1c437fde7e02cff28,Vibers,ME
333,6161c13b143c37878b238962,Volume Zero,ME
334,61ed26dfda9d7ca1c7ba5b26,Wolves,ME
335,60c1e7489fc1a47e5f111738,You're Throwing,ME
336,6161c126143c37878b238961,comma,ME
337,61795150f8090ec7452895b4,quadruple,ME
338,6161c111143c37878b23895f,ruthlessly,ME
339,6161c161143c37878b238963,sNv,ME
340,6161c1e2143c37878b23896c,sdf,ME
341,6161c1d7143c37878b23896b,slow gang,ME
342,620a7b09da9d7ca1c7ba840b,uchiha',ME
343,614ad5c8f8090ec745286298,AXLE-R8,NA
344,62057f92c437fde7e02cfc76,Akrew,NA
345,6020bd99f1e4807cc700dcc7,AllMid,NA
346,6020c5e8f1e4807cc704100d,Buckos,NA
347,6020bd98f1e4807cc700dc2c,Charlotte Phoenix,NA
